"doc_id","type","start","end","features","text"
1,"entity",11023,11029,"list(kind = ""location"")","America"
1,"entity",12317,12325,"list(kind = ""location"")","Chad Wolf"
1,"entity",12704,12710,"list(kind = ""location"")","Ireland"
1,"entity",12926,12929,"list(kind = ""location"")","Hill"
1,"entity",20046,20052,"list(kind = ""location"")","Speaker"
1,"entity",21356,21359,"list(kind = ""location"")","Hill"
1,"entity",22017,22023,"list(kind = ""location"")","America"
1,"entity",22077,22083,"list(kind = ""location"")","America"
1,"entity",23053,23065,"list(kind = ""location"")","United States"
1,"entity",24482,24489,"list(kind = ""location"")","New York"
1,"entity",24911,24915,"list(kind = ""location"")","China"
1,"entity",25115,25119,"list(kind = ""location"")","China"
1,"entity",25303,25306,"list(kind = ""location"")","Ohio"
1,"entity",25630,25633,"list(kind = ""location"")","Ohio"
1,"entity",26840,26844,"list(kind = ""location"")","Italy"
1,"entity",28376,28383,"list(kind = ""location"")","New York"
1,"entity",28676,28685,"list(kind = ""location"")","Washington"
1,"entity",29528,29540,"list(kind = ""location"")","West Virginia"
1,"entity",29610,29622,"list(kind = ""location"")","West Virginia"
1,"entity",29788,29800,"list(kind = ""location"")","West Virginia"
1,"entity",29906,29915,"list(kind = ""location"")","California"
1,"entity",29937,29946,"list(kind = ""location"")","California"
1,"entity",30464,30473,"list(kind = ""location"")","California"
1,"entity",34305,34311,"list(kind = ""location"")","Florida"
1,"entity",41393,41399,"list(kind = ""location"")","Seattle"
1,"entity",41405,41414,"list(kind = ""location"")","California"
1,"entity",41797,41807,"list(kind = ""location"")","Santa Clara"
1,"entity",41813,41819,"list(kind = ""location"")","Seattle"
1,"entity",42199,42203,"list(kind = ""location"")","Wuhan"
1,"entity",43839,43851,"list(kind = ""location"")","United States"
1,"entity",45721,45733,"list(kind = ""location"")","United States"
1,"entity",46445,46457,"list(kind = ""location"")","United States"
1,"entity",47311,47323,"list(kind = ""location"")","United States"
1,"entity",48323,48335,"list(kind = ""location"")","West Virginia"
1,"entity",48625,48633,"list(kind = ""location"")","Caribbean"
1,"entity",48636,48641,"list(kind = ""location"")","Mexico"
1,"entity",54468,54472,"list(kind = ""location"")","China"
1,"entity",57836,57842,"list(kind = ""location"")","Alabama"
1,"entity",57976,57982,"list(kind = ""location"")","Alabama"
1,"entity",58803,58826,"list(kind = ""location"")","United States of America"
1,"entity",59322,59334,"list(kind = ""location"")","United States"
1,"entity",60219,60224,"list(kind = ""location"")","London"
1,"entity",62629,62633,"list(kind = ""location"")","China"
1,"entity",62639,62644,"list(kind = ""location"")","Europe"
1,"entity",62665,62669,"list(kind = ""location"")","China"
